"REF_DATE","GEO","DGUID","Offences","Age of accused","Sex of accused","Charge and case","Type of decision","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012/2013","Newfoundland and Labrador","2016A000210","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192424","2.15.2.1.2.1","94","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192424","2.15.2.1.2.1","98","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192424","2.15.2.1.2.1","49","","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192424","2.15.2.1.2.1","61","","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192424","2.15.2.1.2.1","67","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192424","2.15.2.1.2.1","66","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192424","2.15.2.1.2.1","59","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192424","2.15.2.1.2.1","66","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192424","2.15.2.1.2.1","38","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192424","2.15.2.1.2.1","33","","","","0"
"1999/2000","Newfoundland and Labrador","2016A000210","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192544","2.15.3.1.2.1","379","","","","0"
"2000/2001","Newfoundland and Labrador","2016A000210","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192544","2.15.3.1.2.1","342","","","","0"
"2001/2002","Newfoundland and Labrador","2016A000210","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192544","2.15.3.1.2.1","334","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192544","2.15.3.1.2.1","336","","","","0"
"2003/2004","Newfoundland and Labrador","2016A000210","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192544","2.15.3.1.2.1","253","","","","0"
"2004/2005","Newfoundland and Labrador","2016A000210","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192544","2.15.3.1.2.1","268","","","","0"
"2005/2006","Newfoundland and Labrador","2016A000210","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192544","2.15.3.1.2.1","198","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192544","2.15.3.1.2.1","211","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192544","2.15.3.1.2.1","227","","","","0"
"2008/2009","Newfoundland and Labrador","2016A000210","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192544","2.15.3.1.2.1","182","","","","0"
"2009/2010","Newfoundland and Labrador","2016A000210","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192544","2.15.3.1.2.1","152","","","","0"
"2010/2011","Newfoundland and Labrador","2016A000210","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192544","2.15.3.1.2.1","156","","","","0"
"2011/2012","Newfoundland and Labrador","2016A000210","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192544","2.15.3.1.2.1","131","","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192544","2.15.3.1.2.1","107","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192544","2.15.3.1.2.1","92","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192544","2.15.3.1.2.1","84","","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192544","2.15.3.1.2.1","72","","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192544","2.15.3.1.2.1","69","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192544","2.15.3.1.2.1","76","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192544","2.15.3.1.2.1","74","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192544","2.15.3.1.2.1","40","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192544","2.15.3.1.2.1","19","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192544","2.15.3.1.2.1","27","","","","0"
"1999/2000","Prince Edward Island","2016A000211","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211564","3.4.2.1.2.1","15","","","","0"
"2000/2001","Prince Edward Island","2016A000211","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211564","3.4.2.1.2.1","6","","","","0"
"2001/2002","Prince Edward Island","2016A000211","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211564","3.4.2.1.2.1","20","","","","0"
"2002/2003","Prince Edward Island","2016A000211","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211564","3.4.2.1.2.1","16","","","","0"
"2003/2004","Prince Edward Island","2016A000211","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211564","3.4.2.1.2.1","19","","","","0"
"2004/2005","Prince Edward Island","2016A000211","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211564","3.4.2.1.2.1","8","","","","0"
"2005/2006","Prince Edward Island","2016A000211","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60211564","3.4.2.1.2.1","19","","","","0"
