"REF_DATE","GEO","DGUID","Offences","Age of accused","Sex of accused","Charge and case","Type of decision","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017/2018","Ontario","2016A000235","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60324544","7.15.3.1.2.1","1830","","","","0"
"2018/2019","Ontario","2016A000235","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60324544","7.15.3.1.2.1","1445","","","","0"
"2019/2020","Ontario","2016A000235","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60324544","7.15.3.1.2.1","1161","","","","0"
"2020/2021","Ontario","2016A000235","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60324544","7.15.3.1.2.1","700","","","","0"
"2021/2022","Ontario","2016A000235","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60324544","7.15.3.1.2.1","661","","","","0"
"1999/2000","Manitoba","2016A000246","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344734","8.4.2.1.2.1","475","","","","0"
"2000/2001","Manitoba","2016A000246","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344734","8.4.2.1.2.1","425","","","","0"
"2001/2002","Manitoba","2016A000246","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344734","8.4.2.1.2.1","378","","","","0"
"2002/2003","Manitoba","2016A000246","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344734","8.4.2.1.2.1","375","","","","0"
"2003/2004","Manitoba","2016A000246","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344734","8.4.2.1.2.1","351","","","","0"
"2004/2005","Manitoba","2016A000246","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344734","8.4.2.1.2.1","294","","","","0"
"2005/2006","Manitoba","2016A000246","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344734","8.4.2.1.2.1","296","","","","0"
"2006/2007","Manitoba","2016A000246","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344734","8.4.2.1.2.1","289","","","","0"
"2007/2008","Manitoba","2016A000246","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344734","8.4.2.1.2.1","323","","","","0"
"2008/2009","Manitoba","2016A000246","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344734","8.4.2.1.2.1","361","","","","0"
"2009/2010","Manitoba","2016A000246","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344734","8.4.2.1.2.1","318","","","","0"
"2010/2011","Manitoba","2016A000246","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344734","8.4.2.1.2.1","361","","","","0"
"2011/2012","Manitoba","2016A000246","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344734","8.4.2.1.2.1","319","","","","0"
"2012/2013","Manitoba","2016A000246","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344734","8.4.2.1.2.1","351","","","","0"
"2013/2014","Manitoba","2016A000246","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344734","8.4.2.1.2.1","357","","","","0"
"2014/2015","Manitoba","2016A000246","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344734","8.4.2.1.2.1","303","","","","0"
"2015/2016","Manitoba","2016A000246","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344734","8.4.2.1.2.1","263","","","","0"
"2016/2017","Manitoba","2016A000246","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344734","8.4.2.1.2.1","296","","","","0"
"2017/2018","Manitoba","2016A000246","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344734","8.4.2.1.2.1","309","","","","0"
"2018/2019","Manitoba","2016A000246","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344734","8.4.2.1.2.1","316","","","","0"
"2019/2020","Manitoba","2016A000246","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344734","8.4.2.1.2.1","305","","","","0"
"2020/2021","Manitoba","2016A000246","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344734","8.4.2.1.2.1","129","","","","0"
"2021/2022","Manitoba","2016A000246","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344734","8.4.2.1.2.1","179","","","","0"
"1999/2000","Manitoba","2016A000246","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344914","8.4.3.1.2.1","438","","","","0"
"2000/2001","Manitoba","2016A000246","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344914","8.4.3.1.2.1","376","","","","0"
"2001/2002","Manitoba","2016A000246","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344914","8.4.3.1.2.1","416","","","","0"
"2002/2003","Manitoba","2016A000246","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344914","8.4.3.1.2.1","379","","","","0"
"2003/2004","Manitoba","2016A000246","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344914","8.4.3.1.2.1","357","","","","0"
"2004/2005","Manitoba","2016A000246","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344914","8.4.3.1.2.1","318","","","","0"
"2005/2006","Manitoba","2016A000246","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344914","8.4.3.1.2.1","331","","","","0"
"2006/2007","Manitoba","2016A000246","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344914","8.4.3.1.2.1","342","","","","0"
"2007/2008","Manitoba","2016A000246","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344914","8.4.3.1.2.1","360","","","","0"
"2008/2009","Manitoba","2016A000246","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344914","8.4.3.1.2.1","391","","","","0"
"2009/2010","Manitoba","2016A000246","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344914","8.4.3.1.2.1","409","","","","0"
"2010/2011","Manitoba","2016A000246","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344914","8.4.3.1.2.1","418","","","","0"
"2011/2012","Manitoba","2016A000246","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344914","8.4.3.1.2.1","418","","","","0"
"2012/2013","Manitoba","2016A000246","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344914","8.4.3.1.2.1","436","","","","0"
"2013/2014","Manitoba","2016A000246","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344914","8.4.3.1.2.1","397","","","","0"
"2014/2015","Manitoba","2016A000246","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344914","8.4.3.1.2.1","314","","","","0"
"2015/2016","Manitoba","2016A000246","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344914","8.4.3.1.2.1","328","","","","0"
"2016/2017","Manitoba","2016A000246","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344914","8.4.3.1.2.1","343","","","","0"
"2017/2018","Manitoba","2016A000246","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344914","8.4.3.1.2.1","476","","","","0"
"2018/2019","Manitoba","2016A000246","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344914","8.4.3.1.2.1","395","","","","0"
"2019/2020","Manitoba","2016A000246","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344914","8.4.3.1.2.1","347","","","","0"
"2020/2021","Manitoba","2016A000246","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344914","8.4.3.1.2.1","182","","","","0"
"2021/2022","Manitoba","2016A000246","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60344914","8.4.3.1.2.1","223","","","","0"
"1999/2000","Manitoba","2016A000246","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60355954","8.15.2.1.2.1","1015","","","","0"
"2000/2001","Manitoba","2016A000246","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60355954","8.15.2.1.2.1","929","","","","0"
"2001/2002","Manitoba","2016A000246","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60355954","8.15.2.1.2.1","861","","","","0"
"2002/2003","Manitoba","2016A000246","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60355954","8.15.2.1.2.1","713","","","","0"
"2003/2004","Manitoba","2016A000246","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60355954","8.15.2.1.2.1","716","","","","0"
"2004/2005","Manitoba","2016A000246","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60355954","8.15.2.1.2.1","558","","","","0"
"2005/2006","Manitoba","2016A000246","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60355954","8.15.2.1.2.1","582","","","","0"
"2006/2007","Manitoba","2016A000246","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60355954","8.15.2.1.2.1","558","","","","0"
"2007/2008","Manitoba","2016A000246","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60355954","8.15.2.1.2.1","558","","","","0"
"2008/2009","Manitoba","2016A000246","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60355954","8.15.2.1.2.1","517","","","","0"
"2009/2010","Manitoba","2016A000246","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60355954","8.15.2.1.2.1","478","","","","0"
"2010/2011","Manitoba","2016A000246","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60355954","8.15.2.1.2.1","556","","","","0"
"2011/2012","Manitoba","2016A000246","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60355954","8.15.2.1.2.1","417","","","","0"
"2012/2013","Manitoba","2016A000246","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60355954","8.15.2.1.2.1","412","","","","0"
"2013/2014","Manitoba","2016A000246","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60355954","8.15.2.1.2.1","427","","","","0"
"2014/2015","Manitoba","2016A000246","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60355954","8.15.2.1.2.1","343","","","","0"
"2015/2016","Manitoba","2016A000246","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60355954","8.15.2.1.2.1","398","","","","0"
"2016/2017","Manitoba","2016A000246","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60355954","8.15.2.1.2.1","361","","","","0"
"2017/2018","Manitoba","2016A000246","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60355954","8.15.2.1.2.1","319","","","","0"
"2018/2019","Manitoba","2016A000246","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60355954","8.15.2.1.2.1","296","","","","0"
"2019/2020","Manitoba","2016A000246","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60355954","8.15.2.1.2.1","192","","","","0"
"2020/2021","Manitoba","2016A000246","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60355954","8.15.2.1.2.1","110","","","","0"
"2021/2022","Manitoba","2016A000246","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60355954","8.15.2.1.2.1","91","","","","0"
"1999/2000","Manitoba","2016A000246","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60356134","8.15.3.1.2.1","907","","","","0"
"2000/2001","Manitoba","2016A000246","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60356134","8.15.3.1.2.1","877","","","","0"
"2001/2002","Manitoba","2016A000246","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60356134","8.15.3.1.2.1","824","","","","0"
"2002/2003","Manitoba","2016A000246","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60356134","8.15.3.1.2.1","685","","","","0"
"2003/2004","Manitoba","2016A000246","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60356134","8.15.3.1.2.1","651","","","","0"
"2004/2005","Manitoba","2016A000246","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60356134","8.15.3.1.2.1","597","","","","0"
"2005/2006","Manitoba","2016A000246","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60356134","8.15.3.1.2.1","582","","","","0"
"2006/2007","Manitoba","2016A000246","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60356134","8.15.3.1.2.1","534","","","","0"
"2007/2008","Manitoba","2016A000246","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60356134","8.15.3.1.2.1","503","","","","0"
"2008/2009","Manitoba","2016A000246","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60356134","8.15.3.1.2.1","502","","","","0"
"2009/2010","Manitoba","2016A000246","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60356134","8.15.3.1.2.1","510","","","","0"
"2010/2011","Manitoba","2016A000246","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60356134","8.15.3.1.2.1","545","","","","0"
"2011/2012","Manitoba","2016A000246","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60356134","8.15.3.1.2.1","447","","","","0"
"2012/2013","Manitoba","2016A000246","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60356134","8.15.3.1.2.1","401","","","","0"
"2013/2014","Manitoba","2016A000246","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60356134","8.15.3.1.2.1","379","","","","0"
"2014/2015","Manitoba","2016A000246","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60356134","8.15.3.1.2.1","351","","","","0"
"2015/2016","Manitoba","2016A000246","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60356134","8.15.3.1.2.1","363","","","","0"
"2016/2017","Manitoba","2016A000246","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60356134","8.15.3.1.2.1","339","","","","0"
"2017/2018","Manitoba","2016A000246","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60356134","8.15.3.1.2.1","327","","","","0"
"2018/2019","Manitoba","2016A000246","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60356134","8.15.3.1.2.1","231","","","","0"
"2019/2020","Manitoba","2016A000246","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60356134","8.15.3.1.2.1","184","","","","0"
"2020/2021","Manitoba","2016A000246","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60356134","8.15.3.1.2.1","106","","","","0"
"2021/2022","Manitoba","2016A000246","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60356134","8.15.3.1.2.1","92","","","","0"
"1999/2000","Saskatchewan","2016A000247","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384364","9.4.2.1.2.1","442","","","","0"
"2000/2001","Saskatchewan","2016A000247","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384364","9.4.2.1.2.1","476","","","","0"
"2001/2002","Saskatchewan","2016A000247","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384364","9.4.2.1.2.1","462","","","","0"
"2002/2003","Saskatchewan","2016A000247","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384364","9.4.2.1.2.1","529","","","","0"
"2003/2004","Saskatchewan","2016A000247","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384364","9.4.2.1.2.1","495","","","","0"
"2004/2005","Saskatchewan","2016A000247","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384364","9.4.2.1.2.1","409","","","","0"
"2005/2006","Saskatchewan","2016A000247","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384364","9.4.2.1.2.1","475","","","","0"
"2006/2007","Saskatchewan","2016A000247","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384364","9.4.2.1.2.1","443","","","","0"
"2007/2008","Saskatchewan","2016A000247","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384364","9.4.2.1.2.1","471","","","","0"
"2008/2009","Saskatchewan","2016A000247","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384364","9.4.2.1.2.1","463","","","","0"
"2009/2010","Saskatchewan","2016A000247","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384364","9.4.2.1.2.1","403","","","","0"
"2010/2011","Saskatchewan","2016A000247","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384364","9.4.2.1.2.1","357","","","","0"
"2011/2012","Saskatchewan","2016A000247","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384364","9.4.2.1.2.1","338","","","","0"
"2012/2013","Saskatchewan","2016A000247","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384364","9.4.2.1.2.1","338","","","","0"
"2013/2014","Saskatchewan","2016A000247","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384364","9.4.2.1.2.1","284","","","","0"
"2014/2015","Saskatchewan","2016A000247","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384364","9.4.2.1.2.1","297","","","","0"
"2015/2016","Saskatchewan","2016A000247","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384364","9.4.2.1.2.1","288","","","","0"
"2016/2017","Saskatchewan","2016A000247","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384364","9.4.2.1.2.1","277","","","","0"
"2017/2018","Saskatchewan","2016A000247","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384364","9.4.2.1.2.1","265","","","","0"
"2018/2019","Saskatchewan","2016A000247","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384364","9.4.2.1.2.1","281","","","","0"
"2019/2020","Saskatchewan","2016A000247","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384364","9.4.2.1.2.1","293","","","","0"
"2020/2021","Saskatchewan","2016A000247","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384364","9.4.2.1.2.1","263","","","","0"
"2021/2022","Saskatchewan","2016A000247","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384364","9.4.2.1.2.1","247","","","","0"
"1999/2000","Saskatchewan","2016A000247","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384484","9.4.3.1.2.1","373","","","","0"
"2000/2001","Saskatchewan","2016A000247","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384484","9.4.3.1.2.1","461","","","","0"
"2001/2002","Saskatchewan","2016A000247","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384484","9.4.3.1.2.1","425","","","","0"
"2002/2003","Saskatchewan","2016A000247","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384484","9.4.3.1.2.1","449","","","","0"
"2003/2004","Saskatchewan","2016A000247","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384484","9.4.3.1.2.1","477","","","","0"
"2004/2005","Saskatchewan","2016A000247","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384484","9.4.3.1.2.1","421","","","","0"
"2005/2006","Saskatchewan","2016A000247","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384484","9.4.3.1.2.1","449","","","","0"
"2006/2007","Saskatchewan","2016A000247","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384484","9.4.3.1.2.1","522","","","","0"
"2007/2008","Saskatchewan","2016A000247","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384484","9.4.3.1.2.1","533","","","","0"
"2008/2009","Saskatchewan","2016A000247","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384484","9.4.3.1.2.1","507","","","","0"
"2009/2010","Saskatchewan","2016A000247","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384484","9.4.3.1.2.1","465","","","","0"
"2010/2011","Saskatchewan","2016A000247","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384484","9.4.3.1.2.1","506","","","","0"
"2011/2012","Saskatchewan","2016A000247","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384484","9.4.3.1.2.1","394","","","","0"
"2012/2013","Saskatchewan","2016A000247","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384484","9.4.3.1.2.1","396","","","","0"
"2013/2014","Saskatchewan","2016A000247","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384484","9.4.3.1.2.1","364","","","","0"
"2014/2015","Saskatchewan","2016A000247","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384484","9.4.3.1.2.1","319","","","","0"
"2015/2016","Saskatchewan","2016A000247","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384484","9.4.3.1.2.1","360","","","","0"
"2016/2017","Saskatchewan","2016A000247","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384484","9.4.3.1.2.1","334","","","","0"
"2017/2018","Saskatchewan","2016A000247","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384484","9.4.3.1.2.1","311","","","","0"
"2018/2019","Saskatchewan","2016A000247","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384484","9.4.3.1.2.1","328","","","","0"
"2019/2020","Saskatchewan","2016A000247","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384484","9.4.3.1.2.1","323","","","","0"
"2020/2021","Saskatchewan","2016A000247","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384484","9.4.3.1.2.1","284","","","","0"
"2021/2022","Saskatchewan","2016A000247","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60384484","9.4.3.1.2.1","258","","","","0"
"1999/2000","Saskatchewan","2016A000247","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391624","9.15.2.1.2.1","1744","","","","0"
"2000/2001","Saskatchewan","2016A000247","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391624","9.15.2.1.2.1","1673","","","","0"
"2001/2002","Saskatchewan","2016A000247","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391624","9.15.2.1.2.1","1731","","","","0"
"2002/2003","Saskatchewan","2016A000247","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391624","9.15.2.1.2.1","1628","","","","0"
"2003/2004","Saskatchewan","2016A000247","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391624","9.15.2.1.2.1","1357","","","","0"
"2004/2005","Saskatchewan","2016A000247","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391624","9.15.2.1.2.1","1311","","","","0"
"2005/2006","Saskatchewan","2016A000247","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391624","9.15.2.1.2.1","1198","","","","0"
"2006/2007","Saskatchewan","2016A000247","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391624","9.15.2.1.2.1","1304","","","","0"
"2007/2008","Saskatchewan","2016A000247","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391624","9.15.2.1.2.1","1288","","","","0"
"2008/2009","Saskatchewan","2016A000247","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391624","9.15.2.1.2.1","1241","","","","0"
"2009/2010","Saskatchewan","2016A000247","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391624","9.15.2.1.2.1","1339","","","","0"
"2010/2011","Saskatchewan","2016A000247","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60391624","9.15.2.1.2.1","1212","","","","0"
